# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
3.59242 0.452249	0.45229	0.561219	0.560355	0.784854	0.789744	
3.60258 0.461942	0.461966	0.571009	0.570112	0.790243	0.795156	
3.61275 0.463085	0.463092	0.569282	0.568371	0.790134	0.795035	
3.62291 0.47613	0.47612	0.579081	0.578137	0.788428	0.793306	
3.63307 0.464454	0.464426	0.580331	0.579368	0.793535	0.798433	
3.64323 0.48334	0.483292	0.593842	0.592838	0.795659	0.800559	
3.6534 0.500893	0.500826	0.597631	0.596603	0.797034	0.801931	
3.66356 0.508093	0.508007	0.604649	0.603592	0.813144	0.818129	
3.67372 0.512737	0.512631	0.611427	0.610341	0.817337	0.822337	
3.68388 0.522057	0.521931	0.619479	0.618362	0.821778	0.826795	
3.69405 0.534232	0.534085	0.624011	0.622868	0.815606	0.820574	
3.70421 0.539544	0.539377	0.632257	0.631082	0.823496	0.828501	
3.71437 0.546773	0.546586	0.639671	0.638464	0.814899	0.819841	
3.72453 0.556275	0.556066	0.639123	0.6379	0.823111	0.828092	
3.7347 0.569847	0.569614	0.660904	0.659622	0.82525	0.830234	
3.74486 0.570619	0.570367	0.665553	0.664245	0.839615	0.844676	
3.75502 0.588339	0.58806	0.672125	0.670788	0.828283	0.833264	
3.76518 0.596206	0.595905	0.676644	0.675281	0.838759	0.843794	
3.77534 0.599137	0.598816	0.679373	0.677987	0.849738	0.854828	
3.78551 0.603482	0.60314	0.686754	0.685337	0.851534	0.856626	
3.79567 0.617807	0.617438	0.702844	0.701377	0.859288	0.864417	
3.80583 0.632628	0.632233	0.707825	0.706331	0.859717	0.864839	
3.81599 0.644177	0.643756	0.702241	0.700743	0.86446	0.869602	
3.82616 0.651612	0.651168	0.715952	0.714408	0.87597	0.881172	
3.83632 0.666519	0.666048	0.727831	0.726245	0.875984	0.881178	
3.84648 0.671206	0.670713	0.733903	0.732288	0.864163	0.869277	
3.85664 0.673634	0.673122	0.745182	0.743527	0.885978	0.891213	
3.86681 0.688244	0.687703	0.753408	0.751719	0.880531	0.885726	
3.87697 0.704711	0.70414	0.758251	0.756537	0.887203	0.89243	
3.88713 0.706111	0.705522	0.768508	0.766756	0.887374	0.892594	
3.89729 0.724058	0.723437	0.783387	0.781587	0.893016	0.898262	
3.90746 0.727623	0.726983	0.777291	0.775491	0.899484	0.90476	
3.91762 0.736879	0.736215	0.79164	0.789793	0.905058	0.910361	
3.92778 0.749501	0.748809	0.803883	0.801993	0.906282	0.911585	
3.93794 0.759643	0.758926	0.81102	0.8091	0.929505	0.934939	
3.94811 0.771388	0.770645	0.813072	0.811135	0.92381	0.929205	
